ONT_only_chromosome,ONT_only_start,ONT_only_end,ONT_only_strand,ONT_only_gene_id,ONT_only_transcript_id,ONT_only_gene_name,ONT_only_transcript_type,ONT_only_v43_tx_len,ONT_only_v43_exon_count,ONT_only_v43_cds_len,ONT_only_FPKM,ONT_only_testis_1,ONT_only_testis_2,ONT_only_brain,ONT_only_Tx_FPKM,ONT_only_Gene_FPKM,ONT_only_Tx%,ONT_only_Tx_count,ONT_only_Rank,ONT_only_Ref_Tx,ONT_only_MANE_tx,ONT_only_MANE_match,ONT_only_V8_gene_id,ONT_only_V8_transcript_id,ONT_only_V8_gene_id_by_V8Tx
X,14006706,14029892,-,ENSG00000046647,ENST00000680255,GEMIN8,protein_coding,3147,4,729,,1.798399,0,0,0.599466333,1.901056,31.53333375,6,2,0,ENST00000680255,1,ENSG00000046647,,
4,15479204,15540275,+,ENSG00000048342,ENST00000651385,CC2D2A,protein_coding,3427,2,1917,,0,0.161557,0,0.053852333,1.582536,3.402913636,24,5,0,ENST00000424120,0,ENSG00000048342,,
4,15479204,15481713,+,ENSG00000048342,ENST00000652443,CC2D2A,protein_coding,754,2,189,,0,0.127477,0,0.042492333,1.582536,2.685078465,24,6,0,ENST00000424120,0,ENSG00000048342,,
2,135531484,135725269,+,ENSG00000048991,ENST00000683871,R3HDM1,protein_coding,4781,4,3405,,0,0,3.510305,1.170101667,4.363088667,26.81819592,21,3,0,ENST00000683871,1,ENSG00000048991,,
12,88492789,88580471,-,ENSG00000049130,ENST00000644744,KITLG,protein_coding,5441,4,822,,1.846109,2.948698,2.345917,2.380241333,2.55895,93.01632831,6,1,1,ENST00000644744,1,ENSG00000049130,,
5,60925232,60945058,-,ENSG00000049167,ENST00000682041,ERCC8,retained_intron,3855,4,,,0.570632,0,0,0.190210667,0.299137333,63.58640179,34,1,0,ENST00000676185,0,ENSG00000049167,,
5,60909628,60945064,-,ENSG00000049167,ENST00000682418,ERCC8,retained_intron,1073,4,,,0.32678,0,0,0.108926667,0.299137333,36.41359821,34,2,0,ENST00000676185,0,ENSG00000049167,,
18,58195430,58336494,+,ENSG00000049759,ENST00000676251,NEDD4L,retained_intron,3849,4,,,0,0,2.086362,0.695454,1.368961333,50.80158096,62,1,0,ENST00000400345,0,ENSG00000049759,,
X,74742785,74925440,-,ENSG00000050030,ENST00000642681,NEXMIF,protein_coding,12338,18,4461,,0.164412,0,0,0.054804,0.620662,8.829926756,3,2,0,ENST00000055682,0,ENSG00000050030,,
11,11963036,12008626,-,ENSG00000050165,ENST00000683431,DKK3,protein_coding,2525,4,1053,,0,4.567997,0,1.522665667,35.726221,4.262039544,17,2,0,ENST00000683431,1,ENSG00000050165,,
9,131077799,131092058,+,ENSG00000050555,ENST00000678544,LAMC3,retained_intron,2572,4,,,1.030501,0,0,0.343500333,12.32239933,2.787609166,6,2,0,ENST00000361069,0,ENSG00000050555,,
12,19317956,19344937,+,ENSG00000052126,ENST00000706621,PLEKHA5,retained_intron,4617,1,,,0,0,0.778284,0.259428,4.222704,6.143646346,43,2,0,ENST00000429027,0,ENSG00000052126,,
12,19129751,19257044,+,ENSG00000052126,ENST00000706616,PLEKHA5,retained_intron,2360,1,,,0.253356,0,0.319651,0.191002333,4.222704,4.52322335,43,3,0,ENST00000429027,0,ENSG00000052126,,
12,19335620,19344033,+,ENSG00000052126,ENST00000700693,PLEKHA5,retained_intron,1703,4,,,0,0,0.134861,0.044953667,4.222704,1.064570632,43,5,0,ENST00000429027,0,ENSG00000052126,,
11,43358920,43494922,+,ENSG00000052841,ENST00000703837,TTC17,protein_coding,4650,5,3597,,0,5.601396,7.537874,4.379756667,26.472309,16.54467189,16,2,0,ENST00000039989,0,ENSG00000052841,,
20,37521250,37523690,+,ENSG00000053438,ENST00000649451,NNAT,protein_coding,1259,7,246,,0.571153,1.126917,8.854465,3.517511667,12.490194,28.16218601,5,2,0,ENST00000649451,1,ENSG00000053438,,
20,37521250,37523690,+,ENSG00000053438,ENST00000649309,NNAT,protein_coding,1254,7,378,,0.178145,0,1.021474,0.399873,12.490194,3.201495509,5,3,0,ENST00000649451,0,ENSG00000053438,,
1,10210570,10381603,+,ENSG00000054523,ENST00000676179,KIF1B,protein_coding,10855,4,5451,,0,0,30.350103,10.116701,10.116701,100,22,1,1,ENST00000676179,1,ENSG00000054523,,
6,1611917,1614411,+,ENSG00000054598,ENST00000645831,FOXC1,protein_coding,3983,2,1662,,0.932818,1.780294,1.430556,1.381222667,1.381222667,100,1,1,1,ENST00000645831,1,ENSG00000054598,,
7,148698593,148801024,+,ENSG00000055130,ENST00000663044,CUL1,protein_coding,3054,6,2331,,8.780823,4.896702,0,4.559175,29.58479633,15.41053367,17,2,0,ENST00000325222,0,ENSG00000055130,,
7,148698907,148801019,+,ENSG00000055130,ENST00000671397,CUL1,nonsense_mediated_decay,2888,2,645,,0,0,1.028048,0.342682667,29.58479633,1.158306661,17,3,0,ENST00000325222,0,ENSG00000055130,,
3,179708879,179713311,+,ENSG00000058056,ENST00000681356,USP13,retained_intron,1848,4,,,0,0,0.074845,0.024948333,0.024948333,100,73,1,0,ENST00000263966,0,ENSG00000058056,,
1,26787944,26800659,+,ENSG00000060642,ENST00000674222,PIGV,protein_coding,4377,4,1482,,9.722798,0,0,3.240932667,3.671123,88.28177826,21,1,1,ENST00000674202,0,ENSG00000060642,,
1,26787944,26798297,+,ENSG00000060642,ENST00000693629,PIGV,protein_coding,916,4,360,,1.290571,0,0,0.430190333,3.671123,11.71822174,21,2,0,ENST00000674202,0,ENSG00000060642,,
11,32892811,32980270,+,ENSG00000060749,ENST00000650167,QSER1,protein_coding,9706,2,5595,,4.004564,4.808025,4.877524,4.563371,4.848377333,94.12161402,6,1,1,ENST00000650167,1,ENSG00000060749,,
2,182923308,183038352,-,ENSG00000061676,ENST00000703825,NCKAP1,protein_coding,6028,5,3381,,0,17.86701,0,5.95567,5.95567,100,10,1,1,ENST00000361354,0,ENSG00000061676,,
3,195863364,195892744,-,ENSG00000061938,ENST00000678220,TNK2,protein_coding,4292,4,3219,,0,0,4.679842,1.559947333,5.356552667,29.12222525,31,1,1,ENST00000672887,0,ENSG00000061938,,
3,195863364,195869690,-,ENSG00000061938,ENST00000673236,TNK2,retained_intron,3377,2,,,0,0,4.354509,1.451503,5.356552667,27.09770799,31,2,0,ENST00000672887,0,ENSG00000061938,,
3,195863364,195895561,-,ENSG00000061938,ENST00000671753,TNK2,protein_coding,4223,2,3144,,0,0,1.63469,0.544896667,5.356552667,10.17252514,31,4,0,ENST00000672887,0,ENSG00000061938,,
3,195863364,195908947,-,ENSG00000061938,ENST00000672024,TNK2,protein_coding,4325,2,3027,,0,0,1.472906,0.490968667,5.356552667,9.165758226,31,5,0,ENST00000672887,0,ENSG00000061938,,
5,321714,438285,+,ENSG00000063438,ENST00000684583,AHRR,protein_coding,5661,4,2094,,0,0,0.117993,0.039331,6.394804,0.615046216,11,4,0,ENST00000684583,1,ENSG00000063438,,
X,153334153,153352926,+,ENSG00000063587,ENST00000650114,ZNF275,protein_coding,6420,2,1290,,0,4.965696,5.941072,3.635589333,3.635589333,100,5,1,1,ENST00000650114,1,ENSG00000063587,,
8,119730793,119832841,-,ENSG00000064313,ENST00000691237,TAF2,protein_coding_CDS_not_defined,4841,4,,,0,0,4.714697,1.571565667,1.571565667,100,43,1,0,ENST00000378164,0,ENSG00000064313,,
12,29302317,29334073,+,ENSG00000064763,ENST00000689798,FAR2,protein_coding_CDS_not_defined,1395,4,,,2.394062,1.915123,0,1.436395,2.157539,66.57562158,25,1,0,ENST00000536681,0,ENSG00000064763,,
19,2100983,2151566,-,ENSG00000065000,ENST00000643116,AP3D1,protein_coding,5065,18,3648,,29.254969,24.203213,17.413303,23.62382833,29.81870967,79.2248511,20,1,1,ENST00000643116,1,ENSG00000065000,,
19,2100994,2151540,-,ENSG00000065000,ENST00000700387,AP3D1,protein_coding,4997,4,3612,,0,5.735159,12.849485,6.194881333,29.81870967,20.7751489,20,2,0,ENST00000643116,0,ENSG00000065000,,
3,123612322,123701018,-,ENSG00000065534,ENST00000688024,MYLK,protein_coding,5074,4,2976,,14.156275,15.984529,0,10.04693467,19.95294467,50.35314253,57,1,1,ENST00000360304,0,ENSG00000065534,,
3,123612296,123620533,-,ENSG00000065534,ENST00000685744,MYLK,protein_coding,2510,4,462,,7.155385,0,5.13248,4.095955,19.95294467,20.52807277,57,2,0,ENST00000360304,0,ENSG00000065534,,
3,123614029,123638930,-,ENSG00000065534,ENST00000689446,MYLK,protein_coding_CDS_not_defined,1023,4,,,4.698294,3.342093,0,2.680129,19.95294467,13.43224795,57,3,0,ENST00000360304,0,ENSG00000065534,,
3,123612296,123615653,-,ENSG00000065534,ENST00000692507,MYLK,retained_intron,3356,4,,,5.795704,0.482092,0,2.092598667,19.95294467,10.48766837,57,4,0,ENST00000360304,0,ENSG00000065534,,
4,37891084,38139173,+,ENSG00000065882,ENST00000698857,TBC1D1,protein_coding,5985,4,3789,,0,0,1.944141,0.648047,3.992346667,16.23223267,20,2,0,ENST00000698857,1,ENSG00000065882,,
7,39987599,39997983,+,ENSG00000065883,ENST00000642626,CDK13,protein_coding,1150,18,865,,5.626904,6.890277,6.474953,6.330711333,10.38506833,60.95974653,24,1,1,ENST00000181839,0,ENSG00000065883,,
7,39998250,40049206,+,ENSG00000065883,ENST00000647453,CDK13,retained_intron,2998,2,,,2.070598,2.674145,3.10314,2.615961,10.38506833,25.18963685,24,2,0,ENST00000181839,0,ENSG00000065883,,
7,40022647,40095557,+,ENSG00000065883,ENST00000700487,CDK13,protein_coding_CDS_not_defined,2858,4,,,4.315188,0,0,1.438396,10.38506833,13.85061661,24,3,0,ENST00000181839,0,ENSG00000065883,,
2,74198613,74215279,+,ENSG00000065911,ENST00000678228,MTHFD2,nonsense_mediated_decay,2320,4,117,,1.542683,0,0,0.514227667,10.82333333,4.751102556,21,3,0,ENST00000394053,0,ENSG00000065911,,
3,101649439,101655332,-,ENSG00000066422,ENST00000704109,ZBTB11,retained_intron,3201,5,,,0,0,6.146424,2.048808,4.914869333,41.68590986,15,1,0,ENST00000312938,0,ENSG00000066422,,
